link,Liczba drzwi,Liczba miejsc,Średnica zawracania,Promień skrętu,Długość,Szerokość,Szerokość z lusterkami bocznymi,Wysokość,Rozstaw osi,Rozstaw kół - przód,Rozstaw kół - tył,Zwis przedni,Zwis tylny,Długość z hakiem holowniczym,Szerokość ze złożonymi lusterkami bocznymi,Szerokość przy otwartych drzwiach z przodu,Szerokość przy otwartych drzwiach z tyłu,Wysokość z relingami dachowymi,Wysokość z anteną,Wysokość przy otwartej klapie bagażnika,Wysokość przy otwartej pokrywie silnika,Prześwit,Prześwit 4x4,Odległość od siedziska przedniego do dachu,Odległość od siedziska tylnego do dachu,Szerokość nad podłokietnikami z przodu,Szerokość nad podłokietnikami z tyłu,Szerokość na wysokości podłokietników z przodu,Szerokość na wysokości podłokietników z tyłu,Odległość oparcia fotela przedniego od kierownicy,Długość kolumny kierownicy,Odległość oparcia przedniego od komory silnika,Wysokość siedziska przedniego,Długość siedziska przedniego,Wysokość oparcia przedniego,Odległość pomiędzy siedzeniami przednimi i tylnymi,Odległość od podłogi do siedziska tylnego,Długość siedziska tylnego,Wysokość oparcia tylnego,Przestrzeń wsiadania z przodu - szerokość,Przestrzeń wsiadania z przodu - wysokość,Przestrzeń wsiadania z tyłu - szerokość,Przestrzeń wsiadania z tyłu - wysokość,Zakres przesuwania foteli przednich,Całkowita długość wnętrza kabiny,Całkowita szerokość wnętrza kabiny,Całkowita wysokość wnętrza kabiny,Minimalna pojemność bagażnika (siedzenia rozłożone),Szerokość pomiędzy nadkolami,Długość do oparcia tylnej kanapy,Wysokość progu załadowczego,Maksymalna pojemność bagażnika (siedzenia złożone),Wysokość bagażnika,Szerokość bagażnika,Długość ze złożoną tylną kanapą,Kąt natarcia,Kąt rampowy,Kąt zejścia,Kąt przechyłu bocznego,Możliwość podjazdu,Głębokość brodzenia,Maksymalna ładowność,Dopuszczalne obciążenie dachu,Powierzchnia „przejrzysta” przedniej szyby,Całkowita powierzchnia „przejrzysta” szyb,Produkowany,Pojemność skokowa,Typ silnika,Moc silnika,Maksymalny moment obrotowy,Doładowanie,Umiejscowienie wałka rozrządu,Liczba cylindrów,Układ cylindrów,Liczba zaworów,Stopień sprężania,Zapłon,Typ wtrysku,Montaż silnika,Średnica cylindra × skok tłoka,Układ paliwowy,Dodatkowe informacje,Rodzaj układu kierowniczego,Opony podstawowe,Opony opcjonalne,225/40 R18,225/45 R17,235/30 R20,235/35 R19,Felgi podstawowe,Rozstaw śrub,Felgi opcjonalne,Rodzaj hamulców (przód),Rodzaj hamulców (tył),Hamowanie (100 do 0km/h) z ABS,Typ układu hamulcowego,Grubość tarcz hamulcowych (przód),Grubość tarcz hamulcowych (tył),Średnica tarcz hamulcowych (przód),Średnica tarcz hamulcowych (tył),Rodzaj zawieszenia (przód),Rodzaj zawieszenia  (tył),Amortyzatory,Rodzaj skrzyni,Liczba biegów,Rodzaj napędu,Nazwa skrzyni,Rodzaj sprzęgła,Prędkość maksymalna,Przyspieszenie (od 0 do 100km/h),400 metrów ze startu zatrzymanego,1000 metrów ze startu zatrzymanego,Średnie spalanie (cykl mieszany),Spalanie na trasie (na autostradzie),Spalanie w mieście,Pojemność zbiornika paliwa,Zasięg (cykl mieszany),Zasięg (autostrada),Zasięg (miasto),Emisja CO₂,Norma emisji spalin,Minimalna masa własna pojazdu (bez obciążenia),Maksymalna masa całkowita pojazdu (w pełni obciążonego),Maksymalna masa przyczepy z hamulcami,Maksymalna masa przyczepy bez hamulców,Maksymalny nacisk na hak,Pojemność akumulatora,Pojemność akumulatora w wersji z klimatyzacja,Kod silnika,System start&stop,Liczba stopni
https://www.autocentrum.pl/dane-techniczne/acura/rl/i/silnik-benzynowy-3.5-225km-1996-2004/,4,5,brak danych,brak danych,4956 mm,1811 mm,brak danych,1384 mm,2911 mm,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,od 1996 do 2004 roku,3474 cm³,benzynowy,225 KM (165 kW) przy 5200 obr/min,313 Nm przy 2800 obr/min,brak danych,DOHC,6,widlasty,24,9.6 : 1,iskrowy,wielopunktowy (MPI),brak danych,90 × 91 mm,brak danych,brak danych,brak danych,225/55 R16,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,tarczowe wentylowane,tarczowe,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,gazowe,automatyczna,brak danych,na przednią oś,brak danych,brak danych,234 km/h,8.6 s,16.2 s,29.4 s,11.8 l/100km,9.8 l/100km,13.1 l/100km,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,1755 kg,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,4
https://www.autocentrum.pl/dane-techniczne/acura/cl/ii/silnik-benzynowy-3.2-v6-225km-2001-2003/,2,brak danych,brak danych,brak danych,4877 mm,1793 mm,brak danych,1410 mm,2715 mm,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,od 2001 do 2003 roku,3210 cm³,benzynowy,225 KM (165 kW) przy 5600 obr/min,294 Nm przy 4700 obr/min,brak danych,SOHC (OHC),6,widlasty,24,9.8 : 1,iskrowy,wielopunktowy (MPI),"z przodu, podłużnie",89 × 86 mm,brak danych,brak danych,brak danych,215/50 R17,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,tarczowe wentylowane,tarczowe,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,automatyczna,brak danych,na przednią oś,brak danych,hydrokinetyczne,243 km/h,7.7 s,15.7 s,28.4 s,10.2 l/100km,8.1 l/100km,12.4 l/100km,55 l,539 km,679 km,444 km,brak danych,brak danych,1574 kg,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,5
https://www.autocentrum.pl/dane-techniczne/acura/tl/iii/silnik-benzynowy-3.2-258km-2004-2008/,4,brak danych,brak danych,brak danych,4809 mm,1835 mm,brak danych,1441 mm,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,od 2004 do 2008 roku,3210 cm³,benzynowy,258 KM (190 kW) przy 6200 obr/min,316 Nm przy 5000 obr/min,brak danych,SOHC (OHC),6,widlasty,24,11.0 : 1,iskrowy,wielopunktowy (MPI),brak danych,89 × 86 mm,brak danych,brak danych,brak danych,235/45 R17,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,tarczowe wentylowane,tarczowe,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,manualna,6,na przednią oś,brak danych,hydrokinetyczne,225 km/h,6.6 s,14.8 s,26.6 s,10.2 l/100km,8.1 l/100km,11.8 l/100km,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,1580 kg,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,5
https://www.autocentrum.pl/dane-techniczne/alfa-romeo/156/ii/kombi/,5,5,11.0 m,5.5 m,4441 mm,1743 mm,brak danych,1430 mm,2595 mm,1511 mm,1498 mm,952 mm,894 mm,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,360 l,brak danych,brak danych,brak danych,1180 l,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych
https://www.autocentrum.pl/dane-techniczne/acura/cl/ii/,2,brak danych,brak danych,brak danych,4877 mm,1793 mm,brak danych,1410 mm,2715 mm,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych
https://www.autocentrum.pl/dane-techniczne/alfa-romeo/giulietta-nuova/ii/hatchback-5d-facelifting/silnik-diesla-1.6-jtd-16v-105km-2013-2015/,5,5,brak danych,brak danych,4351 mm,1798 mm,brak danych,1465 mm,2634 mm,1554 mm,1554 mm,955 mm,762 mm,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,350 l,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,od 2013 do 2015 roku,1598 cm³,diesel,105 KM (77 kW) przy 4000 obr/min,280 Nm przy 1500 obr/min,turbosprężarka ze zmienną geometrią i z intercoolerem,DOHC,4,rzędowy,16,brak danych,brak danych,bezpośredni Common Rail,"z przodu, poprzecznie",brak danych,brak danych,Multijet 2: bezpośredni wtrysk paliwa 1600 bar Rozrząd: Pasek zębaty z hydraulicznymi popychaczami System Start&Stop Standard,dwuzębatkowy,205/55 R16,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,tarczowe wentylowane,tarczowe,brak danych,brak danych,brak danych,brak danych,281 mm,264 mm,"McPherson unowocześniony z aluminiowymi zwrotnicami, stabilizator zamontowany na pionowych łącznikach",Multilink ze zredukowaną poprzeczną belką nośną z aluminium,brak danych,manualna,6,na przednią oś,brak danych,brak danych,185 km/h,11.3 s,brak danych,brak danych,4.0 l/100km,3.4 l/100km,5.0 l/100km,60 l,1500 km,1765 km,1200 km,104 g/km,Euro 5,1310 kg,1815 kg,brak danych,brak danych,brak danych,72 Ah,brak danych,brak danych,brak danych,brak danych
https://www.autocentrum.pl/dane-techniczne/acura/tsx/i/silnik-benzynowy-2.4-205km-2004-2008/,4,5,brak danych,brak danych,4656 mm,1763 mm,brak danych,1455 mm,2670 mm,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,od 2004 do 2008 roku,2354 cm³,benzynowy,205 KM (151 kW) przy 7000 obr/min,233 Nm przy 4300 obr/min,brak danych,DOHC,4,rzędowy,16,10.5 : 1,iskrowy,wielopunktowy (MPI),brak danych,87 × 99 mm,brak danych,brak danych,brak danych,215/50 R17,brak danych,brak danych,brak danych,brak danych,brak danych,"7,50Jx17",brak danych,brak danych,tarczowe wentylowane,tarczowe,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,wielowahaczowe double wishbone,system o architekturze Multilink,gazowe,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych
https://www.autocentrum.pl/dane-techniczne/alfa-romeo/gt/i/silnik-benzynowy-1.6-103km-1972-1977/,2,brak danych,brak danych,brak danych,4080 mm,1580 mm,brak danych,1310 mm,2350 mm,1320 mm,1270 mm,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,od 1972 do 1977 roku,brak danych,benzynowy,103 KM (76 kW),brak danych,brak danych,brak danych,4,rzędowy,8,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych
https://www.autocentrum.pl/dane-techniczne/alfa-romeo/155/silnik-benzynowy-1.8-t.s.-129km-1992-1995/,4,5,brak danych,brak danych,4443 mm,1700 mm,brak danych,1440 mm,2450 mm,1469 mm,1402 mm,960 mm,943 mm,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,410 l,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,od 1992 do 1995 roku,1773 cm³,benzynowy,129 KM (95 kW) przy 6000 obr/min,165 Nm przy 5000 obr/min,brak danych,SOHC (OHC),4,rzędowy,8,10.0 : 1,brak danych,wielopunktowy (MPI),"z przodu, poprzecznie",84 × 80 mm,brak danych,brak danych,brak danych,185/60 R14,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,tarczowe,tarczowe,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,manualna,5,na przednią oś,brak danych,brak danych,200 km/h,10.3 s,brak danych,31.8 s,8.8 l/100km,6.7 l/100km,9.5 l/100km,60 l,682 km,896 km,632 km,brak danych,brak danych,1270 kg,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych
https://www.autocentrum.pl/dane-techniczne/alfa-romeo/155/silnik-benzynowy-1.8-t.spark-140km-1995-1997/,4,5,brak danych,brak danych,4443 mm,1700 mm,brak danych,1440 mm,2450 mm,1469 mm,1402 mm,960 mm,943 mm,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,410 l,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,od 1995 do 1997 roku,1747 cm³,benzynowy,140 KM (103 kW) przy 6300 obr/min,165 Nm przy 4000 obr/min,brak danych,DOHC,4,rzędowy,16,10.0 : 1,brak danych,wielopunktowy (MPI),"z przodu, poprzecznie",82 × 82.7 mm,brak danych,brak danych,brak danych,205/50 R15,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,tarczowe wentylowane,tarczowe,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,manualna,5,na przednią oś,brak danych,brak danych,205 km/h,10.0 s,brak danych,brak danych,8.2 l/100km,6.1 l/100km,9.5 l/100km,60 l,732 km,984 km,632 km,brak danych,brak danych,1325 kg,1800 kg,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych,brak danych
